DT,M1,S1,M2,S2,true_label,source_file,file_group
2.833911715071379,0.5722639427138413,0.3957268297672272,0.4690034599206785,0.6595509648323059,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.750724331310199,0.5740830102223965,0.4036539793014526,0.5740830102223965,0.4036539793014526,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
1.976625052050727,0.5739609561288335,0.4661217927932739,0.4665521175938816,0.5807210206985474,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.883366128069784,0.5735081774724963,0.4090571403503418,0.469915157024015,0.658480703830719,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
1.937718443617264,0.5737142931294857,0.3674315214157104,0.4751055052924517,0.6644742488861084,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.695096244273126,0.5743728989962711,0.3913684785366058,0.4698050116519374,0.5338141322135925,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.369364308781236,0.573202218105614,0.3790639638900757,0.4716289415450439,0.5685223340988159,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.615107987443194,0.5733634185154785,0.3900524079799652,0.4749173969409609,0.573029100894928,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.242143722701083,0.5769028636088609,0.4325723946094513,0.5769028636088609,0.4325723946094513,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.367132192430754,0.5745196358724285,0.3842259049415588,0.4655127622927536,0.5853945016860962,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.349238662688127,0.5749577449618148,0.4102034568786621,0.4720968842481169,0.6408953070640564,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.490520309363349,0.5749628545862584,0.3967600762844086,0.4746679318894987,0.5850964784622192,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.812378511154194,0.5742624239710035,0.4053538739681244,0.4764987432929447,0.5608016848564148,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.218745512223474,0.5732981883905256,0.3925460278987885,0.4709474247815599,0.7033613920211792,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.522757125797882,0.5734094875487679,0.4020576477050781,0.4720431095715133,0.5987497568130493,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.878843376028231,0.5740258978072453,0.4087129235267639,0.4710097292344525,0.5631983280181885,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.362557866554489,0.5721320402312295,0.4009579122066498,0.5721320402312295,0.4009579122066498,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.956686968180911,0.5731066186805408,0.4033944010734558,0.4708659592370041,0.606194019317627,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.872692251840483,0.5720056182329003,0.4321487247943878,0.4704340311449285,0.4578486680984497,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.756849020066712,0.57396433507403,0.4050100147724152,0.4698086790436751,0.5090013742446899,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.615571324793862,0.5732664180643483,0.4037685096263885,0.4656841407448566,0.4837664365768433,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.482987856595047,0.5734177700851644,0.3973404169082642,0.4695359734423246,0.4939849376678467,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.359152211446895,0.5738584339867725,0.4047448039054871,0.4715824604452671,0.5752758979797363,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
1.849542252005017,0.5731990864003097,0.459010124206543,0.4747411973109555,0.4901047348976135,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.554077081375389,0.5728990195841969,0.4042556583881378,0.469712791172061,0.4390731453895569,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.674897865991049,0.5723869445603252,0.4121167361736298,0.4672423701668981,0.5216696858406067,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.381223415092461,0.571433628741763,0.3653939068317413,0.4797417477553033,0.6156333088874817,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.739698896350719,0.5724555124238259,0.3907410204410553,0.4742321303724419,0.6616858839988708,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.977046492629072,0.572596768815701,0.3908457458019257,0.4731216111889427,0.5421658754348755,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
1.713994267660644,0.5722689699249872,0.4215936362743378,0.4701917772569957,0.6603068113327026,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
1.99563519459755,0.5728723176758145,0.4345073997974396,0.4678879135260333,0.6938531398773193,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
1.624075731145683,0.5710427836784796,0.4106252491474152,0.4556702245884037,0.6924680471420288,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.587755851017805,0.5697650479144002,0.3838508129119873,0.5697650479144002,0.3838508129119873,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.698239776042761,0.5707896924419283,0.3639520406723022,0.4664883709082834,0.578302800655365,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.345726512774176,0.5707405741166324,0.4333364367485046,0.4733639886968217,0.646351158618927,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
2.219689289085804,0.5722205521127196,0.4068786799907684,0.4656950605067721,0.4219442903995514,CDCA,final_processed_CDCA_120.0851_73.7977.xlsx,1
